Endhaltestelle,elevation,long,lat,
Station-0,0,13.404954,9.520008,
Station-1,0, 13.459731694147496, 52.443688645930315,
Station-2,0, 13.459731694147496, 52.443688645930315,
Station-3,0, 13.46925844251081, 52.4646592683851,
Station-4,0, 13.494985455816709, 52.44443506288279,
Station-5,0, 13.499797355783976, 52.455056173772974,
Station-6,0, 13.436635701546832, 52.456803101195,
Station-7,0, 13.480712929570403, 52.445893455249355,
Station-8,0, 13.44032630755351, 52.50159563351832,
Station-9,0, 13.492859273440509, 52.441665417500495,
Station-10,0, 13.492859273440509, 52.141665417500495,
Station-11,0, 13.492859273440509, 52.341665417500495,
Station-12,0, 13.482859273440509, 52.441665417500495,
Station-13-very-long-name,0, 13.482859273440509, 52.443688645930315







